person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Alexandra Dima,alexandradima,alexandradima@kappa.ro,2610617467079,1969-07-14,"Aleea Georgescu Nr. 121 Bl. 86  Sc. 72 Ap. 497, Rucar, 577002",0757 437 080,b6:6c:07:57:f9:38,113.149.100.63,RO07URGJ9765667166706165,2025-07-02 13:11:30,18938,714,127,1240936,3b9f8f6d-acd6-44ee-9aea-f47d73bde945
Maximilian Nistor,maximiliannistor,maximiliannistor@gmail.com,5920617114391,1998-08-31,"Intrarea Iurie Ionescu, Baia Sprie, 607648",0780 470 049,a8:6f:a3:d3:8c:35,37.120.10.222,RO95TIOC9724003708136372,2025-07-02 13:11:30,18149,405,263,727388,8648dbf3-bbde-4b97-8e83-1913f7cc8a92
Giorgian Dinu,giorgiandinu,giorgiandinu@post.ro,2250601225830,1959-08-07,"Intrarea Nemeș Nr. 169 Bl. 65  Sc. 70 Ap. 506, Vulcan, 955339",0772 702 166,b2:c2:cb:8c:9e:fe,82.36.20.21,RO70GIOM5982616750169052,2025-07-02 13:11:30,5799,200,365,1112466,139cbd09-b59e-4172-89bb-af3e407af325
Pătru Oprea,pătruoprea,pătruoprea@gmail.com,4851112220244,1936-06-22,"Soseaua Diaconescu Nr. 61 Bl. 54  Sc. 15 Ap. 879, Peretu, 265619",0760 350 931,bc:a9:b7:cc:14:cd,30.250.217.5,RO44TWXQ9994239875382882,2025-07-02 13:11:30,18337,83,442,127906,eacb2d78-050b-4689-b0b9-b3776ab3ef8b
Ioanina Nistor,ioaninanistor,ioaninanistor@post.ro,5290401089251,2001-09-09,"Soseaua Nicoară Pop Nr. 86 Bl. 61  Sc. 34 Ap. 633, Otelu Rosu, 678554",0753 612 898,00:94:c4:8f:d2:ce,208.157.87.116,RO81KGUF0864548847437294,2025-07-02 13:11:30,34080,658,213,56919,cf157d7f-3ea0-41c1-baee-686f6d5494a8
Teofil Tomescu,teofiltomescu,teofiltomescu@kappa.ro,1800908448405,1972-08-01,"Soseaua Diaconescu, Talmaciu, 972932",0772 197 540,3e:ac:a5:be:07:30,190.204.87.93,RO47EJMU3775689819821822,2025-07-02 13:11:30,12925,241,286,139595,24216cd3-d086-4a5e-9d56-716c59854911
Emanoil Eftimie,emanoileftimie,emanoileftimie@kappa.ro,7820813040360,1967-11-22,"Intrarea Cosmin Pop, Diosig, 442704",0736 746 001,4e:65:7e:9d:5b:1c,78.192.92.190,RO40FHLN8201986648628694,2025-07-02 13:11:30,5543,767,541,1935318,089128a8-c41b-4415-b7af-50a7f517f73d
Noemi Dinu,noemidinu,noemidinu@zzup.ro,5720325168463,1963-08-01,"Soseaua Suciu Nr. 310 Bl. 40  Sc. 89 Ap. 202, Sighisoara, 971364",0753 547 330,90:4b:83:68:fb:e0,111.195.70.136,RO79SIHD4973601860493920,2025-07-02 13:11:30,14872,118,113,1024864,7437426b-c43c-43ee-9a24-13f1dfc62c47
Pamela Manole,pamelamanole,pamelamanole@acasa.ro,6920531240908,1981-12-30,"Intrarea Teofil Cristea Nr. 91, Negresti-Oas, 957909",0784 849 232,8a:6b:a5:c6:10:90,51.65.241.203,RO37CWVB4010122051018454,2025-07-02 13:11:30,14113,264,79,1095855,9fc3e4d9-2690-4330-8b8e-a2e4cd55ab82
Domnica Popescu,domnicapopescu,domnicapopescu@141.ro,8550822393550,1910-03-03,"Drumul Suciu Nr. 89 Bl. 35  Sc. 97 Ap. 728, Dragalina, 912427",0772 667 308,04:af:42:0f:16:34,221.95.2.104,RO54QOYG8962068756436856,2025-07-02 13:11:30,34092,592,368,181513,d736cf47-a97f-4e31-8ac7-78104de585fa
Eva Suciu,evasuciu,evasuciu@141.ro,4411118022601,1983-08-09,"Bulevardul Niță Nr. 12 Bl. 60  Sc. 51 Ap. 913, Otopeni, 585594",0731 623 957,dc:31:5d:3c:bb:87,2.210.141.123,RO80PYLP1152820457902116,2025-07-02 13:11:30,5350,572,777,1581703,d5d40585-945b-4a37-9ac6-9c03bf68e1c1
Teodor Suciu,teodorsuciu,teodorsuciu@gmail.com,5531012410089,1983-08-01,"Bulevardul Severina Florea, Dragasani, 607296",0263 949 673,c2:db:4f:06:dd:25,204.176.9.10,RO54YXDS4589734809295206,2025-07-02 13:11:30,22534,226,179,948047,0fd1a07a-51eb-4ad1-bea6-ec980c4d6862
Vanesa Stănescu,vanesastănescu,vanesastănescu@141.ro,7690105284162,1951-04-13,"Soseaua Florentina Preda, Constanta, 256861",0753 254 183,2c:f3:5c:3f:ba:76,29.13.28.16,RO78DVFZ5994694635170210,2025-07-02 13:11:30,15325,558,389,1854776,17f390f3-92c6-4c14-9c7c-206ad3d13b2b
Robert Georgescu,robertgeorgescu,robertgeorgescu@gmail.com,2120129246111,1968-05-03,"Aleea Luca Nemeș Nr. 59 Bl. 16  Sc. 10 Ap. 614, Oravita, 616844",0247 471 345,c8:f7:cc:c1:45:28,197.236.51.136,RO62UQRJ6053762515655086,2025-07-02 13:11:30,25398,917,118,1815092,43b8e845-c791-4cf2-8960-86aa0aa095bb
Felix Stan,felixstan,felixstan@post.ro,2880218159723,1971-11-15,"Intrarea Monica Ioniță Nr. 63 Bl. 38  Sc. 42 Ap. 814, Pecica, 938883",0772 348 001,14:4f:b3:45:f9:20,8.1.121.168,RO58ERNS3283232209354562,2025-07-02 13:11:30,34539,530,156,703288,a21a1997-e380-49bf-83d4-7a3ea95e0981
Estera Stănescu,esterastănescu,esterastănescu@email.ro,4040517361723,1950-12-29,"Strada Dobre Nr. 510 Bl. 56  Sc. 60 Ap. 929, Reghin, 574506",0762 004 387,46:24:ef:57:f5:a1,119.191.132.170,RO21CFYR8961233375310776,2025-07-02 13:11:30,30968,634,503,1685217,9cfcdb30-bab1-4163-a65f-988579fe4cbd
Lelia Barbu,leliabarbu,leliabarbu@post.ro,8890329267909,1923-06-27,"Drumul Tomescu, Bumbesti-Jiu, 224642",0740 575 220,9e:26:ff:e1:54:65,60.237.246.76,RO39VHUS0330893635276103,2025-07-02 13:11:30,16231,61,552,527920,3dc30b24-520a-4115-bbac-d5503ac981e3
Mihnea Dumitrescu,mihneadumitrescu,mihneadumitrescu@email.ro,8950331330367,1936-04-24,"Intrarea Veniamin Pop Nr. 596, Dragasani, 641339",0235 035 394,d2:de:d2:9a:6a:ee,94.199.212.81,RO26RLSA0685898471444464,2025-07-02 13:11:30,10349,63,755,1487131,2c6666b3-da54-42ab-8f7b-3c3a47b431ab
Irinel Pușcașu,irinelpușcașu,irinelpușcașu@acasa.ro,7940812304514,1987-04-05,"Drumul Florea, Deta, 911251",0264 703 808,0c:98:7a:a6:6e:6b,44.146.69.73,RO71GECV6973437281060562,2025-07-02 13:11:30,5236,754,711,1472899,30cf6788-563f-4998-9bff-c2357c4d043b
Veta Ardelean,vetaardelean,vetaardelean@gmail.com,7771029156660,1977-02-22,"Strada Flora Suciu Nr. 262 Bl. 75  Sc. 58 Ap. 683, Podu Iloaiei, 335964",0245 103 944,08:dc:33:35:36:95,57.188.145.68,RO44DDLY7012669946955177,2025-07-02 13:11:30,5973,835,93,1186160,0cdb27a4-a81b-469a-9ccd-cde638e47649
Stana Aanei,stanaaanei,stanaaanei@kappa.ro,1420830466176,1945-11-03,"Drumul Petronela Ardelean Nr. 943, Otelu Rosu, 153794",0767 643 760,24:33:58:31:fc:17,119.195.154.229,RO52YGMJ3516944672060881,2025-07-02 13:11:30,29072,323,44,476648,98cc83b2-eb76-4e4b-b0d1-27034ed93fb7
Catrinel Ababei,catrinelababei,catrinelababei@kappa.ro,6040912197123,1911-10-10,"Aleea Lorin Stancu Nr. 783 Bl. 60  Sc. 24 Ap. 981, Alexandria, 245376",0244 499 959,9a:07:99:84:d3:d2,92.236.116.253,RO93RCEC7324490663740926,2025-07-02 13:11:30,8859,46,466,964235,a31c149c-15b2-44fc-a7da-2d172e2420bd
Manole Aanei,manoleaanei,manoleaanei@email.ro,1111122128888,1927-08-31,"Drumul Stănescu, Amara, 989917",0239 452 863,12:e4:f6:41:d4:2c,119.185.207.68,RO35XTAW5917000890903802,2025-07-02 13:11:30,14209,585,503,1957380,86640793-0426-4d46-bea6-30678b370115
Agripina Mazilescu,agripinamazilescu,agripinamazilescu@kappa.ro,2230309090581,2001-08-04,"Bulevardul Diaconescu Nr. 214 Bl. 14  Sc. 77 Ap. 897, Sandominic, 384032",0749 139 023,da:20:5f:33:3c:6d,41.252.3.150,RO78TFPT1081878326277062,2025-07-02 13:11:30,35257,370,640,206745,1a3612ea-f9cd-4e6a-a40f-64c5785bb5b1
Doriana Dochioiu,dorianadochioiu,dorianadochioiu@141.ro,1490726079415,1980-11-01,"Strada Manole Nr. 923 Bl. 29  Sc. 86 Ap. 808, Iasi, 348136",0254 073 666,00:f9:91:31:45:b4,71.254.24.45,RO70GDES4150934983190015,2025-07-02 13:11:30,7322,718,282,1897449,b8bc2a85-400b-4800-9daa-392a492e1f0e
Carla Nistor,carlanistor,carlanistor@141.ro,1560131355486,1943-10-01,"Intrarea Norica Suciu, Targu Ocna, 705270",0733 949 155,b6:e1:bb:59:43:5d,126.10.137.236,RO25PKKX2556708635839507,2025-07-02 13:11:30,3373,561,459,970805,4b6424c7-32cf-43de-8c14-ccd9c2f0f8b6
Axenia Albu,axeniaalbu,axeniaalbu@email.ro,8440823319981,1964-08-23,"Aleea Dinu, Radauti, 588242",0763 935 436,62:f2:6b:a3:76:ab,76.230.206.183,RO75JZHS1991992366428275,2025-07-02 13:11:30,6941,325,509,1627235,04a5e830-34db-489a-b72d-f3332ef4da0a
Nadia Manole,nadiamanole,nadiamanole@gmail.com,8350802238064,1959-07-01,"Strada Călin Oprea, Giurgiu, 232010",0261 286 806,30:2c:ae:d1:62:69,194.191.246.195,RO89RYFI2040780175356741,2025-07-02 13:11:30,23354,918,316,476033,17e22ac7-c896-4156-9b67-7fcd9aa925ce
Sidonia Tudor,sidoniatudor,sidoniatudor@gmail.com,1480319079677,1915-09-21,"Intrarea Ardelean Nr. 75 Bl. 55  Sc. 72 Ap. 157, Bals, 366573",0738 468 811,88:bf:1e:d8:4d:b5,220.99.174.228,RO81NHOU5897089396391363,2025-07-02 13:11:30,4785,882,282,375329,73ea3ee0-4844-4593-a55c-6e42a77ffa84
Lucreția Nistor,lucrețianistor,lucrețianistor@acasa.ro,7521209011951,1962-08-05,"Soseaua Iosif Florea Nr. 920 Bl. 98  Sc. 60 Ap. 682, Iasi, 197980",0232 640 629,08:49:55:4a:87:f7,200.45.72.63,RO47YGMI0203529075414731,2025-07-02 13:11:30,8713,764,741,829780,b1a1bd41-f9b6-4489-9f49-4adc8fefe3f2
Octavia Aanei,octaviaaanei,octaviaaanei@post.ro,4760129339176,1937-03-05,"Soseaua Stan Preda Nr. 28, Sadova, 375507",0243 514 421,c6:db:41:0d:a5:c0,216.162.132.10,RO71JFCE6503272282044379,2025-07-02 13:11:30,14508,670,654,331312,234fe095-439e-475b-9463-0e5647a13b9b
Nicoleta Dumitrescu,nicoletadumitrescu,nicoletadumitrescu@gmail.com,7821118021641,1939-09-23,"Strada Diaconu Nr. 34, Intorsura Buzaului, 661126",0761 152 301,7e:10:b9:41:bd:89,162.190.31.141,RO31PVQU6108431238137682,2025-07-02 13:11:30,16806,333,446,684890,ba8d3efc-3994-425b-8850-62c85be1625f
Eftimia Dochioiu,eftimiadochioiu,eftimiadochioiu@zzup.ro,1670119131034,2016-07-12,"Aleea Dobre Nr. 73 Bl. 38  Sc. 62 Ap. 246, Tecuci, 477780",0254 724 034,76:e8:45:71:37:d9,198.155.13.19,RO75QZJT1629683506291181,2025-07-02 13:11:30,13898,313,202,652830,6c671ee4-3ffa-473c-805a-4feb1d195208
Codrin Pușcașu,codrinpușcașu,codrinpușcașu@zzup.ro,7931109097571,2011-05-30,"Aleea Nemeș, Cornetu, 428072",0780 610 693,10:36:c4:e6:0e:9c,47.66.66.47,RO16EMYA8292253502405205,2025-07-02 13:11:30,8734,907,82,1777298,0bae6bf0-9811-4dcb-9d64-9f3d31a7a7c1
Dafina Nemeș,dafinanemeș,dafinanemeș@zzup.ro,8200809185484,2024-04-03,"Strada Nistor Nr. 18, Siria, 208981",0720 653 277,be:bf:d9:45:01:94,59.135.74.242,RO22DGPR3124868690557114,2025-07-02 13:11:30,11430,480,520,1471680,5ef3bc11-800e-4616-895a-8e324be882ca
Mara Cristea,maracristea,maracristea@zzup.ro,8130401280916,1954-05-16,"Bulevardul Aanei Nr. 57 Bl. 93  Sc. 53 Ap. 728, Calan, 646297",0240 571 750,58:99:76:11:13:d4,12.15.255.186,RO66YWBL8945181126735142,2025-07-02 13:11:30,25975,973,753,247947,e35ceec2-97f0-4fe8-8d39-2546178883eb
Silvia Dinu,silviadinu,silviadinu@post.ro,2170304056912,1932-12-07,"Aleea Adi Georgescu Nr. 453 Bl. 58  Sc. 35 Ap. 637, Poienile de sub Munte, 858072",0739 128 164,60:9d:92:ab:d4:77,133.67.25.48,RO95RZZS5638877934585029,2025-07-02 13:11:30,5639,592,770,1433161,7c49ed36-6405-4ed6-9a3f-b2e33f56e841
Aurora Dima,auroradima,auroradima@zzup.ro,1340719415127,1949-11-24,"Soseaua Aneta Stoica Nr. 454 Bl. 82  Sc. 14 Ap. 324, Braila, 965497",021 538 8869,f0:93:ac:1a:0e:59,87.10.76.204,RO75LCWP8434080129948627,2025-07-02 13:11:30,28830,215,3,136039,2eeb48c5-4080-4cee-8617-b8a863302d08
Clementina Nistor,clementinanistor,clementinanistor@kappa.ro,1620625169614,1953-04-09,"Aleea Pop, Negresti-Oas, 322371",0259 027 201,fa:2b:8e:92:50:0d,206.1.2.200,RO70OQTG1250757718002001,2025-07-02 13:11:30,23203,941,762,826264,97760caa-3ee2-43aa-8def-c3415f5ec49f
Benone Diaconescu,benonediaconescu,benonediaconescu@gmail.com,4790421072834,1961-01-19,"Drumul Antonie Pop Nr. 925 Bl. 22  Sc. 10 Ap. 803, Dobroesti, 252895",0785 349 415,02:a2:7e:97:47:cc,203.9.63.224,RO07EFXP7825701902472680,2025-07-02 13:11:30,11808,483,689,1826851,8f86218a-d723-485a-a2a1-55fccec567c7
Dina Gheorghiu,dinagheorghiu,dinagheorghiu@zzup.ro,2961105209629,1997-10-19,"Soseaua Florentin Popescu, Tomesti, 998277",0259 245 862,d2:c7:80:2f:c3:72,97.237.231.156,RO78MHAV4170606918817650,2025-07-02 13:11:30,20469,938,533,246337,e370b273-ee59-4479-91fa-636694774380
Henrieta Stănescu,henrietastănescu,henrietastănescu@gmail.com,3491225464509,2004-03-09,"Strada Florica Stănescu Nr. 25, Insuratei, 816481",0748 876 728,68:51:5b:80:1e:67,175.244.119.25,RO42KOUX5699265208119183,2025-07-02 13:11:30,2037,887,281,1275200,622be938-fc8c-4394-8d70-f3486b8e2150
Laurian Stoica,laurianstoica,laurianstoica@kappa.ro,2810202183119,1988-06-14,"Soseaua Stoica Nr. 89 Bl. 70  Sc. 93 Ap. 598, Zalau, 212649",0739 164 571,78:64:48:17:3f:17,201.214.204.113,RO10IQZM9857471057123249,2025-07-02 13:11:30,34899,411,365,427143,6be88e51-f1ff-4d90-bf85-17689bc47f67
Romeo Diaconescu,romeodiaconescu,romeodiaconescu@email.ro,7620528089249,1985-05-11,"Bulevardul Dinu Nr. 745, Ianca, 430532",0724 459 806,fc:c3:6d:a7:be:e2,148.45.197.138,RO51LKLH8283568644624557,2025-07-02 13:11:30,35635,848,119,895038,43806cbf-bb57-4044-a8ab-0cd82fa19f83
Laurian Ioniță,laurianioniță,laurianioniță@acasa.ro,3681115417044,1984-12-28,"Bulevardul Maxim Tomescu, Ovidiu, 506534",0231 052 846,86:65:fc:f5:a4:41,183.192.250.34,RO08PBQV7124308950704540,2025-07-02 13:11:30,19459,339,16,1560663,b0dbafb5-6363-4027-992a-0b68d9b96a5f
Raluca Preda,ralucapreda,ralucapreda@post.ro,6091127129179,1933-04-09,"Drumul Iosif Stancu Nr. 706 Bl. 99  Sc. 98 Ap. 319, Sandominic, 512901",0263 079 770,14:c4:f8:db:72:fe,102.251.185.106,RO45NTDO3190082356571834,2025-07-02 13:11:30,34862,661,326,1384318,0774e0e0-3958-44fd-b922-d3a76cba51af
Julieta Tudor,julietatudor,julietatudor@gmail.com,3390907435271,1997-12-03,"Intrarea Barbu, Reghin, 200145",0732 833 669,5c:f5:90:c4:1f:34,77.104.9.180,RO90KOJP9863919675648675,2025-07-02 13:11:30,18613,230,137,1979266,b0a2d962-b990-4ff6-98b4-23f46b6d5938
Dora Stan,dorastan,dorastan@acasa.ro,2910303051787,1975-07-31,"Intrarea Traian Popescu Nr. 681, Pancota, 873741",0743 990 310,d6:9e:1d:45:fc:3e,152.110.253.111,RO35KWQT3991963427477530,2025-07-02 13:11:30,11584,308,204,19419,c6aaa697-f902-435e-a2ea-d5e976b0f4ad
Cristobal Popescu,cristobalpopescu,cristobalpopescu@zzup.ro,8931225281180,2001-04-23,"Aleea Nistor Nr. 60, Dabuleni, 763398",0736 770 684,1c:d5:d0:46:01:cd,23.134.89.29,RO06FGIN3257811053489424,2025-07-02 13:11:30,24915,783,409,414730,6b130d4c-1046-448e-b67d-e618af1b2ea6
Ciprian Suciu,cipriansuciu,cipriansuciu@141.ro,4910125308456,1980-08-14,"Intrarea Popescu, Domnesti, 812000",0244 804 878,5c:f9:24:2a:04:f0,87.67.40.229,RO57VERS8081851299632632,2025-07-02 13:11:30,17724,177,412,1634644,b4128abf-0c71-42a8-9cb2-7312a647a787
Alexe Georgescu,alexegeorgescu,alexegeorgescu@post.ro,2010116034891,1994-11-19,"Drumul Diaconu, Copsa Mica, 101947",0752 748 990,00:ff:f4:22:25:fd,24.54.132.192,RO25REEV5442833457315308,2025-07-02 13:11:30,7376,443,632,65598,f22f0356-fce0-4ee0-8629-62e8c2534f21
Frusina Dochioiu,frusinadochioiu,frusinadochioiu@email.ro,1331204017240,1918-10-24,"Aleea Teohari Suciu Nr. 593 Bl. 23  Sc. 26 Ap. 884, Odobesti, 372416",0236 825 932,24:0d:fc:24:42:52,118.167.232.23,RO83PPOI9235996441085784,2025-07-02 13:11:30,3205,710,789,1500583,2cd679bc-5061-4a7c-bd90-6d1816075953
Aurelian Tudor,aureliantudor,aureliantudor@gmail.com,5410107278932,1933-03-01,"Intrarea Mocanu Nr. 50 Bl. 51  Sc. 82 Ap. 235, Siret, 587379",0231 533 823,02:67:2f:63:8c:79,21.245.115.230,RO32VDAP9634493973994953,2025-07-02 13:11:30,20408,662,368,987902,febb839d-8da3-4a7d-935c-a8608f779a0c
Marinela Nistor,marinelanistor,marinelanistor@kappa.ro,6540102401179,1912-10-03,"Strada Eftimie Nr. 924 Bl. 30  Sc. 76 Ap. 757, Mogosoaia, 410143",0751 690 666,38:f7:81:1b:b2:a9,189.80.146.15,RO87JIVQ2549017404585856,2025-07-02 13:11:30,16656,342,655,1397184,35ff84ab-d401-4059-a83d-57c715cda96c
Inocențiu Ene,inocențiuene,inocențiuene@zzup.ro,6500717308634,1918-03-02,"Intrarea Anca Toma, Cristuru Secuiesc, 136495",0772 480 285,22:58:bf:51:f3:d8,111.134.14.30,RO11WJVO7876756620087785,2025-07-02 13:11:30,12290,94,221,1708254,f1fad421-4394-4583-8ea8-164994b3ee01
Darius Stoica,dariusstoica,dariusstoica@email.ro,5801102382831,1959-07-10,"Aleea Pop Nr. 10 Bl. 53  Sc. 48 Ap. 393, Bailesti, 992235",0243 248 263,32:73:8d:55:74:2a,199.113.18.12,RO75KYKE6770269830314839,2025-07-02 13:11:30,20214,104,598,132664,86c81c13-7c1c-476f-a9aa-acf59c8d0d04
Tudora Marin,tudoramarin,tudoramarin@141.ro,2571015423490,1922-01-05,"Intrarea Dinu Nr. 19 Bl. 18  Sc. 63 Ap. 897, Sandominic, 178399",0727 622 929,a6:31:2d:3c:d9:6a,104.171.33.15,RO53WCOI9293778299415544,2025-07-02 13:11:30,27272,236,730,1177247,5a7debb0-9f16-465f-98f6-0ecbe353cc2f
Miruna Aanei,mirunaaanei,mirunaaanei@gmail.com,6570615364858,2018-04-06,"Intrarea Carmen Ababei Nr. 10, Apahida, 826086",0721 984 626,a0:dc:51:e7:32:08,142.65.107.245,RO13GDPN6205251773502477,2025-07-02 13:11:30,27394,14,350,476924,0ab6e26c-9960-4faa-9dbf-ca9be4a2ced2
Marcela Dinu,marceladinu,marceladinu@kappa.ro,3890705104183,1940-07-02,"Intrarea Marin, Viseu de Sus, 426218",0784 027 969,e0:a6:e5:3c:49:40,107.127.0.213,RO17ZGDP5341013216502347,2025-07-02 13:11:30,31915,706,107,823967,c7b0bab7-18d9-4d12-bbb6-864887eeea56
Luminița Pop,luminițapop,luminițapop@gmail.com,6580822083577,1961-02-11,"Aleea Petrică Tomescu, Ramnicu Sarat, 158372",0258 005 823,80:1c:97:bf:29:96,7.13.35.168,RO19XCEY2528494316342205,2025-07-02 13:11:30,25447,654,76,319612,47c5e0bc-8bff-4a76-98b0-b78aaf8368e1
Silvana Ioniță,silvanaioniță,silvanaioniță@post.ro,8611101061282,1990-12-29,"Soseaua Tabacu, Campia Turzii, 922220",0724 642 872,9a:96:bc:16:73:5b,182.126.137.150,RO52MBFO6068338478061854,2025-07-02 13:11:30,11068,121,370,266320,4ab57596-208a-414e-9871-f6036459f8b8
Iurie Aanei,iurieaanei,iurieaanei@acasa.ro,3270715182664,2017-03-09,"Intrarea Suciu Nr. 32, Urziceni, 942637",0767 644 399,ec:db:a6:ad:c8:9c,199.247.151.63,RO31WGJK7307289371638688,2025-07-02 13:11:30,21727,111,303,99728,5c7c93eb-df97-4b7b-b9d6-993012d67658
Niculiță Georgescu,niculițăgeorgescu,niculițăgeorgescu@kappa.ro,6200801361419,1933-12-14,"Bulevardul Nistor Nr. 17, Zarnesti, 999586",0764 223 749,da:bb:1f:e1:c6:83,75.109.135.161,RO70WYFR9518830011042070,2025-07-02 13:11:30,27855,20,660,519948,5c9efd1c-3db9-4e73-a6e0-92354c374ae3
Claudiu Georgescu,claudiugeorgescu,claudiugeorgescu@141.ro,3430229210857,1921-10-09,"Soseaua Georgescu Nr. 57, Titu, 122553",0268 744 848,1e:47:ce:f8:24:2b,219.248.195.86,RO17BVPL8163934214441580,2025-07-02 13:11:30,12134,899,574,1165628,879fe6db-78c8-4db4-a794-4d5b15ef430c
Floare Aanei,floareaanei,floareaanei@post.ro,6831205359056,1973-11-22,"Intrarea Avram Voinea Nr. 271, Giroc, 298420",0732 980 385,82:60:fc:47:5d:23,114.91.59.48,RO89VDXY6541424281965145,2025-07-02 13:11:30,7927,574,643,1375712,189164b0-0e18-443f-9b19-0ebe1cf69a0f
Cerasela Barbu,ceraselabarbu,ceraselabarbu@kappa.ro,5570310106895,1984-05-01,"Bulevardul Sandu Dima Nr. 29 Bl. 67  Sc. 58 Ap. 302, Buftea, 917571",0259 422 497,a8:db:89:54:dc:81,61.178.21.69,RO82CNNV4176200987869099,2025-07-02 13:11:30,33428,394,744,601682,ea746dc0-6840-44a6-87bc-5ec7d71071bd
Rica Stoica,ricastoica,ricastoica@kappa.ro,2770720103141,1936-03-31,"Soseaua Dobre Nr. 30, Lunca Cetatuii, 862100",0771 050 537,8e:3c:43:70:a5:38,158.200.3.94,RO63KCGM0515217701090352,2025-07-02 13:11:30,27355,822,663,519328,4a59bfc1-0290-4029-8cfd-93c01967a194
Silviu Georgescu,silviugeorgescu,silviugeorgescu@gmail.com,1680428118544,1954-02-06,"Aleea Dobre, Darmanesti, 897849",0260 034 726,e0:71:05:61:fc:62,99.98.243.88,RO20YKOM6598167501487629,2025-07-02 13:11:30,16479,715,531,851244,faf9eb64-feb3-4ee0-ad13-4fa33766b084
Augustin Ababei,augustinababei,augustinababei@email.ro,2640724444453,1973-04-02,"Bulevardul Eusebia Toma, Calafat, 841540",0246 096 685,0a:a5:c2:5d:89:11,102.45.12.255,RO22HVLN0863914970917790,2025-07-02 13:11:30,34801,391,134,1534106,e49e757a-2a18-44ed-958d-a8832d4ddfce
